Instance,Executable,Alpha,Best Profit,Average Profit,Profit CV,Average Time,Time CV
dckp_instances/800/dckp_6_sum.txt,./tabu/main,None,2935,2821.5,0.04022682970051391,43.99814236164093,0.10921230331150647
dckp_instances/800/dckp_6_sum.txt,./grasp/main,0.5,3584,3548.5,0.01000422713822742,464.1514136791229,0.004798340229165432
dckp_instances/800/dckp_6_sum.txt,./grasp/main,0.75,3584,3550.0,0.00744483114726902,407.07893174886703,0.14040023433140109
dckp_instances/800/dckp_6_sum.txt,./ils/main,0.5,3691,3682.0,0.0024443237370994023,396.6476902961731,0.05578211206170769
dckp_instances/800/dckp_6_sum.txt,./ils/main,0.75,3830,3735.25,0.01636638523116207,411.865088224411,0.05337096404256977
dckp_instances/800/dckp_10_sum.txt,./tabu/main,None,2965,2926.5,0.01315564667691782,43.48909258842468,0.0652317139509439
dckp_instances/800/dckp_10_sum.txt,./grasp/main,0.5,3445,3434.5,0.0030572135682049788,419.68639063835144,0.029173500784946623
dckp_instances/800/dckp_10_sum.txt,./grasp/main,0.75,3445,3422.5,0.005483805516179243,382.4648728966713,0.10086153519737463
dckp_instances/800/dckp_10_sum.txt,./ils/main,0.5,3683,3668.5,0.003952569169960474,444.5690698623657,0.06880339442095218
dckp_instances/800/dckp_10_sum.txt,./ils/main,0.75,3845,3748.75,0.021791151748952756,482.9248908162117,0.09165972835551651
dckp_instances/800/dckp_2_sum.txt,./tabu/main,None,2912,2869.0,0.014987800627396306,56.167577147483826,0.03565535561538718
dckp_instances/800/dckp_2_sum.txt,./grasp/main,0.5,3456,3451.5,0.001303780964797914,492.95897936820984,0.04838877586711699
dckp_instances/800/dckp_2_sum.txt,./grasp/main,0.75,3456,3452.75,0.001071511736076225,418.9886537194252,0.1832865183488625
dckp_instances/800/dckp_2_sum.txt,./ils/main,0.5,3763,3761.5,0.00039877708361026184,477.79548370838165,0.1181960467427256
dckp_instances/800/dckp_2_sum.txt,./ils/main,0.75,3853,3785.75,0.010276995852348626,440.77632772922516,0.12353996903205496
dckp_instances/800/dckp_5_sum.txt,./tabu/main,None,2717,2639.5,0.029361621519227128,65.75970888137817,0.015887728281089787
dckp_instances/800/dckp_5_sum.txt,./grasp/main,0.5,3324,3321.5,0.0007526719855486979,616.0825892686844,0.017936325799346606
dckp_instances/800/dckp_5_sum.txt,./grasp/main,0.75,3401,3343.75,0.009966946859340464,477.9216032028198,0.28986070360314786
dckp_instances/800/dckp_5_sum.txt,./ils/main,0.5,3612,3568.5,0.012189995796553174,384.14069151878357,0.013848482301488794
dckp_instances/800/dckp_5_sum.txt,./ils/main,0.75,3612,3524.5,0.03029022661049031,382.206730902195,0.017952679375226606
dckp_instances/800/dckp_4_sum.txt,./tabu/main,None,2822,2746.0,0.027676620538965767,38.963642954826355,0.013714496036595936
dckp_instances/800/dckp_4_sum.txt,./grasp/main,0.5,3387,3354.0,0.009838998211091235,365.87221801280975,0.03046871365427948
dckp_instances/800/dckp_4_sum.txt,./grasp/main,0.75,3387,3340.5,0.008072915168484837,332.5044335126877,0.10548518477691851
dckp_instances/800/dckp_4_sum.txt,./ils/main,0.5,3764,3719.0,0.012100026888948642,402.29538667201996,0.014923884903999828
dckp_instances/800/dckp_4_sum.txt,./ils/main,0.75,3794,3687.5,0.029115309293861524,412.20919847488403,0.0336874308951013
dckp_instances/800/dckp_9_sum.txt,./tabu/main,None,2737,2665.0,0.02701688555347092,39.90652060508728,0.028197770177895543
dckp_instances/800/dckp_9_sum.txt,./grasp/main,0.5,3476,3467.5,0.0024513338139870223,406.4865359067917,0.02014698298977274
dckp_instances/800/dckp_9_sum.txt,./grasp/main,0.75,3476,3466.5,0.002616234984453635,363.01130497455597,0.12136900899868991
dckp_instances/800/dckp_9_sum.txt,./ils/main,0.5,3761,3661.5,0.02717465519595794,387.9997112751007,0.07599629755580323
dckp_instances/800/dckp_9_sum.txt,./ils/main,0.75,3871,3739.75,0.02986926125352205,369.4409030675888,0.08807685066921048
dckp_instances/800/dckp_1_sum.txt,./tabu/main,None,2956,2837.0,0.04194571730701445,39.69704592227936,0.06456562786618138
dckp_instances/800/dckp_1_sum.txt,./grasp/main,0.5,3434,3431.0,0.0008743806470416788,412.97995948791504,0.0021302602257356426
dckp_instances/800/dckp_1_sum.txt,./grasp/main,0.75,3481,3453.25,0.006569673551981832,372.2185626029968,0.11353183939121338
dckp_instances/800/dckp_1_sum.txt,./ils/main,0.5,3827,3757.0,0.01863188714399787,371.64028882980347,0.00999823482883822
dckp_instances/800/dckp_1_sum.txt,./ils/main,0.75,3827,3726.5,0.026364112452150135,379.94356513023376,0.02802252070700064
