Instance,Executable,Alpha,Best Profit,Average Profit,Profit CV,Average Time,Time CV
dckp_instances/700/dckp_6_sum.txt,./tabu/main,None,2455,2411.0,0.024109268430147414,42.14157328605652,0.0761094324113207
dckp_instances/700/dckp_6_sum.txt,./grasp/main,0.5,2995,2968.4,0.006047380588146308,374.24371991157534,0.1314069580858212
dckp_instances/700/dckp_6_sum.txt,./grasp/main,0.75,3008,2975.0,0.007215547087058145,354.8138505220413,0.12195916392977009
dckp_instances/700/dckp_6_sum.txt,./ils/main,0.5,3313,2924.4,0.2177077763945298,431.5494863510132,0.12040170099710422
dckp_instances/700/dckp_6_sum.txt,./ils/main,0.75,3415,2495.1,0.40392448201801473,419.11467723846437,0.11313907600401368
dckp_instances/700/dckp_3_sum.txt,./tabu/main,None,2639,2478.6,0.05025522258792732,42.46800003051758,0.09714191018240549
dckp_instances/700/dckp_3_sum.txt,./grasp/main,0.5,3099,3070.4,0.006270197004225575,488.29308285713194,0.124486877593321
dckp_instances/700/dckp_3_sum.txt,./grasp/main,0.75,3099,3069.7,0.005657530893210175,457.8513430118561,0.18461678723237313
dckp_instances/700/dckp_3_sum.txt,./ils/main,0.5,3290,3229.4,0.014445465896640593,423.4586672782898,0.08218205627164861
dckp_instances/700/dckp_3_sum.txt,./ils/main,0.75,3523,3217.6,0.11144921559377283,361.6784591913223,0.18935834077172412
dckp_instances/700/dckp_5_sum.txt,./tabu/main,None,2548,2444.2,0.04554091137529833,41.60718379020691,0.1189010764264637
dckp_instances/700/dckp_5_sum.txt,./grasp/main,0.5,3079,3041.2,0.00625410676205116,342.7522747516632,0.04040727113081917
dckp_instances/700/dckp_5_sum.txt,./grasp/main,0.75,3079,3038.6,0.007603823411651196,301.88819761276244,0.14081453503133515
dckp_instances/700/dckp_5_sum.txt,./ils/main,0.5,3279,3205.2,0.020671179315430627,306.17357630729674,0.03899637923547318
dckp_instances/700/dckp_5_sum.txt,./ils/main,0.75,3348,3236.1,0.023336363401922605,308.6184258937836,0.037088108455500236
dckp_instances/700/dckp_4_sum.txt,./tabu/main,None,2639,2508.4,0.030939342602636706,36.75810194015503,0.03000701306763983
dckp_instances/700/dckp_4_sum.txt,./grasp/main,0.5,3057,3039.0,0.003250829624278636,327.8301725387573,0.016762407280127872
dckp_instances/700/dckp_4_sum.txt,./grasp/main,0.75,3084,3045.4,0.0050916555529525245,323.238015794754,0.1310470365413693
dckp_instances/700/dckp_4_sum.txt,./ils/main,0.5,3456,3293.4,0.032573166109841616,352.3501226425171,0.10463681013477442
dckp_instances/700/dckp_4_sum.txt,./ils/main,0.75,3456,3312.7,0.031735863186872805,316.0837660551071,0.14418081045253883
dckp_instances/700/dckp_7_sum.txt,./tabu/main,None,2628,2463.6,0.05600181960890091,37.44041209220886,0.04908239933471542
dckp_instances/700/dckp_7_sum.txt,./grasp/main,0.5,2959,2944.4,0.003934994799065409,350.2555748462677,0.17409647412156606
dckp_instances/700/dckp_7_sum.txt,./grasp/main,0.75,2975,2947.4,0.00561652763701575,291.7052752733231,0.25263722183476744
dckp_instances/700/dckp_7_sum.txt,./ils/main,0.5,3340,3212.8,0.02131167189896701,375.3045507907867,0.10580677648904765
dckp_instances/700/dckp_7_sum.txt,./ils/main,0.75,3401,2531.3,0.4302550069602288,374.78715653419493,0.10045690374855339
dckp_instances/700/dckp_8_sum.txt,./tabu/main,None,2596,2527.6,0.01653837326952083,37.898360919952395,0.08151607136681713
dckp_instances/700/dckp_8_sum.txt,./grasp/main,0.5,3109,3077.8,0.007222597260919621,375.54580636024474,0.04353572474200134
dckp_instances/700/dckp_8_sum.txt,./grasp/main,0.75,3167,3090.6,0.01099843516090298,340.53822124004364,0.11298951333164513
dckp_instances/700/dckp_8_sum.txt,./ils/main,0.5,3327,3256.2,0.02544532097563595,346.4308064937592,0.051070620985318095
dckp_instances/700/dckp_8_sum.txt,./ils/main,0.75,3437,3312.1,0.02720509439371123,357.78650596141813,0.06099007877863547
dckp_instances/700/dckp_10_sum.txt,./tabu/main,None,2671,2536.4,0.03316808163162366,41.54301209449768,0.08243839646352728
dckp_instances/700/dckp_10_sum.txt,./grasp/main,0.5,3078,3058.0,0.004313572909834179,309.38439321517944,0.09408282451267469
dckp_instances/700/dckp_10_sum.txt,./grasp/main,0.75,3079,3056.2,0.0047995331583820175,377.36071655750277,0.9742813123231073
dckp_instances/700/dckp_10_sum.txt,./ils/main,0.5,3382,3038.6,0.17258778624846896,264.85925407409667,0.14572556793801678
dckp_instances/700/dckp_10_sum.txt,./ils/main,0.75,3424,3192.1,0.12671360437676177,267.17529821395874,0.10316212176707869
dckp_instances/700/dckp_1_sum.txt,./tabu/main,None,2600,2523.0,0.024773840604491046,30.963245630264282,0.023326815761143045
dckp_instances/700/dckp_1_sum.txt,./grasp/main,0.5,3054,3035.4,0.0048355651662143435,285.91394743919375,0.03183093639869463
dckp_instances/700/dckp_1_sum.txt,./grasp/main,0.75,3057,3022.0,0.009094818368465823,256.6020331144333,0.11877836678272051
dckp_instances/700/dckp_1_sum.txt,./ils/main,0.5,3431,2782.2,0.34044862234447526,274.96756467819216,0.04469751995351991
dckp_instances/700/dckp_1_sum.txt,./ils/main,0.75,3431,2772.5,0.3381059962293752,265.8599058866501,0.049175079740212894
dckp_instances/700/dckp_9_sum.txt,./tabu/main,None,2611,2505.8,0.022567140250225128,33.507286071777344,0.07558874257168946
dckp_instances/700/dckp_9_sum.txt,./grasp/main,0.5,3046,2986.6,0.010821968484840695,269.60482864379884,0.014375069740673456
dckp_instances/700/dckp_9_sum.txt,./grasp/main,0.75,3046,2979.8,0.010298714157361772,246.48575439453126,0.098319253852567
dckp_instances/700/dckp_9_sum.txt,./ils/main,0.5,3254,3163.4,0.01439155850053542,268.91615133285524,0.02860181192092878
dckp_instances/700/dckp_9_sum.txt,./ils/main,0.75,3479,3235.9,0.03273080035255647,261.22606744766233,0.051137331286061065
dckp_instances/700/dckp_2_sum.txt,./tabu/main,None,2620,2456.8,0.04159189724085043,34.12614231109619,0.08627991268940412
dckp_instances/700/dckp_2_sum.txt,./grasp/main,0.5,2880,2860.6,0.004826695265075357,264.28289399147036,0.03268975129842168
dckp_instances/700/dckp_2_sum.txt,./grasp/main,0.75,2890,2865.6,0.006489661471863946,235.76657211780548,0.1251050834551603
dckp_instances/700/dckp_2_sum.txt,./ils/main,0.5,3177,2692.4,0.32688186077748793,246.63479928970338,0.04137574049318147
dckp_instances/700/dckp_2_sum.txt,./ils/main,0.75,3325,2936.1,0.22903035095240692,244.61738154888153,0.04454292246310931
dckp_instances/500/dckp_6_sum.txt,./tabu/main,None,1894,1815.8,0.02237420671984954,12.433230018615722,0.050419139635247814
dckp_instances/500/dckp_6_sum.txt,./grasp/main,0.5,2226,2201.8,0.007650639182212941,83.6932599067688,0.022604556603535452
dckp_instances/500/dckp_6_sum.txt,./grasp/main,0.75,2232,2209.3,0.008059011741514648,78.15904397964478,0.0776442566687792
dckp_instances/500/dckp_6_sum.txt,./ils/main,0.5,2387,2307.0,0.02840161040929242,77.1890793800354,0.029303914433043414
dckp_instances/500/dckp_6_sum.txt,./ils/main,0.75,2624,2378.1,0.05047322280670992,75.79260771274566,0.04871536039349314
dckp_instances/500/dckp_3_sum.txt,./tabu/main,None,1839,1772.8,0.03039001118646919,12.165744829177857,0.05080054532216444
dckp_instances/500/dckp_3_sum.txt,./grasp/main,0.5,2123,2107.8,0.005104460634334477,65.68792128562927,0.05309426359240043
dckp_instances/500/dckp_3_sum.txt,./grasp/main,0.75,2142,2114.4,0.006945084137639283,59.63399052619934,0.11703830096184353
dckp_instances/500/dckp_3_sum.txt,./ils/main,0.5,2413,1980.0,0.32245772085121094,66.82121253013611,0.07664125449120915
dckp_instances/500/dckp_3_sum.txt,./ils/main,0.75,2457,2188.2,0.22794621172451673,64.14806880950928,0.07981493044242144
dckp_instances/500/dckp_5_sum.txt,./tabu/main,None,1909,1819.0,0.026731773722337943,10.918533515930175,0.0729309809905902
dckp_instances/500/dckp_5_sum.txt,./grasp/main,0.5,2159,2145.6,0.006401299296565771,65.38326225280761,0.07579851720695703
dckp_instances/500/dckp_5_sum.txt,./grasp/main,0.75,2203,2161.2,0.012063764309071605,57.05757160186768,0.16067104790186643
dckp_instances/500/dckp_5_sum.txt,./ils/main,0.5,2420,2359.8,0.02851832708135195,61.18385882377625,0.030258906402608504
dckp_instances/500/dckp_5_sum.txt,./ils/main,0.75,2495,2381.6,0.028205075976332514,61.072634077072145,0.04440539294738743
dckp_instances/500/dckp_4_sum.txt,./tabu/main,None,1856,1810.6,0.018256437372034966,9.9644540309906,0.05071899678292353
dckp_instances/500/dckp_4_sum.txt,./grasp/main,0.5,2170,2147.6,0.007927308603103155,59.16484365463257,0.03864106908233416
dckp_instances/500/dckp_4_sum.txt,./grasp/main,0.75,2170,2147.3,0.006509995198710757,53.72902290821075,0.11299903592671437
dckp_instances/500/dckp_4_sum.txt,./ils/main,0.5,2357,1879.4,0.40270518883986317,62.83893003463745,0.051878782797198424
dckp_instances/500/dckp_4_sum.txt,./ils/main,0.75,2398,2116.8,0.27670940762708074,60.42161340713501,0.0688237743276789
dckp_instances/500/dckp_7_sum.txt,./tabu/main,None,1860,1736.0,0.04206725890402503,10.430545854568482,0.04280284055917477
dckp_instances/500/dckp_7_sum.txt,./grasp/main,0.5,2202,2150.8,0.014794842825213452,65.17496585845947,0.0281021282733851
dckp_instances/500/dckp_7_sum.txt,./grasp/main,0.75,2202,2158.6,0.013719476111477169,61.48642363548279,0.0663290236077451
dckp_instances/500/dckp_7_sum.txt,./ils/main,0.5,2333,2285.2,0.013924710287269866,68.07803430557252,0.07896373485686416
dckp_instances/500/dckp_7_sum.txt,./ils/main,0.75,2395,2306.4,0.023771837248546562,64.39056794643402,0.08363704671739426
dckp_instances/500/dckp_8_sum.txt,./tabu/main,None,1784,1715.6,0.021742836715824002,10.778700304031371,0.049458898578184654
dckp_instances/500/dckp_8_sum.txt,./grasp/main,0.5,2131,2125.0,0.0032055315512332047,66.3186604976654,0.04456930451907058
dckp_instances/500/dckp_8_sum.txt,./grasp/main,0.75,2134,2120.1,0.007326782774019878,64.14856481552124,0.07825858018130649
dckp_instances/500/dckp_8_sum.txt,./ils/main,0.5,2358,2289.2,0.019597049118114065,78.71404581069946,0.04527134559646626
dckp_instances/500/dckp_8_sum.txt,./ils/main,0.75,2438,2233.5,0.11284894134178068,92.50553605556487,0.18691537970501015
dckp_instances/500/dckp_10_sum.txt,./tabu/main,None,1868,1821.2,0.017513771833958285,22.60436644554138,0.07681437087953877
dckp_instances/500/dckp_10_sum.txt,./grasp/main,0.5,2194,2162.6,0.010635748427254281,98.71659245491028,0.10841723683644269
dckp_instances/500/dckp_10_sum.txt,./grasp/main,0.75,2194,2153.2,0.01078386546569874,88.64108419418335,0.14378935896470713
dckp_instances/500/dckp_10_sum.txt,./ils/main,0.5,2391,2290.2,0.0334804754226334,97.82759394645691,0.019111171580966504
dckp_instances/500/dckp_10_sum.txt,./ils/main,0.75,2525,2347.6,0.040592750167997765,94.61227338314056,0.04837619333466246
dckp_instances/500/dckp_1_sum.txt,./tabu/main,None,1915,1813.2,0.03141077461927045,16.639882230758666,0.07409491699543169
dckp_instances/500/dckp_1_sum.txt,./grasp/main,0.5,2243,2192.8,0.012369981901297828,115.44276757240296,0.12798085970276962
dckp_instances/500/dckp_1_sum.txt,./grasp/main,0.75,2266,2202.0,0.015884257669712926,106.72407481670379,0.14440183056121586
dckp_instances/500/dckp_1_sum.txt,./ils/main,0.5,2399,2318.2,0.019723337974888875,129.3131651878357,0.1682283582241539
dckp_instances/500/dckp_1_sum.txt,./ils/main,0.75,2507,2372.3,0.03142324129386744,121.24999058246613,0.14796511341009302
dckp_instances/500/dckp_9_sum.txt,./tabu/main,None,1824,1744.8,0.037998927041132176,18.620096015930176,0.05986811112360353
dckp_instances/500/dckp_9_sum.txt,./grasp/main,0.5,2166,2142.6,0.009774915591579121,101.83397598266602,0.03159470937150886
dckp_instances/500/dckp_9_sum.txt,./grasp/main,0.75,2166,2140.5,0.009706231391418988,91.95609405040742,0.11926536594298041
dckp_instances/500/dckp_9_sum.txt,./ils/main,0.5,2550,2309.4,0.05933357635303417,112.59044280052186,0.05697286967600059
dckp_instances/500/dckp_9_sum.txt,./ils/main,0.75,2550,2218.8,0.13985623006692907,111.01945958137512,0.06105137615302231
dckp_instances/500/dckp_2_sum.txt,./tabu/main,None,1862,1763.8,0.037098967425517194,19.4252911567688,0.14417552138976858
dckp_instances/500/dckp_2_sum.txt,./grasp/main,0.5,2254,2225.4,0.00857601900823927,105.96983199119568,0.09871658733570923
dckp_instances/500/dckp_2_sum.txt,./grasp/main,0.75,2254,2219.5,0.0072235994247324044,100.46331870555878,0.11980126680853014
dckp_instances/500/dckp_2_sum.txt,./ils/main,0.5,2376,2208.2,0.10613628050727585,125.50499167442322,0.11236059540407041
dckp_instances/500/dckp_2_sum.txt,./ils/main,0.75,2532,2316.8,0.087623365298973,117.55954632759094,0.12079380276909621
dckp_instances/1000/dckp_6_sum.txt,./tabu/main,None,3742,3527.2,0.04177470853197658,167.23538131713866,0.1404603804856769
dckp_instances/1000/dckp_6_sum.txt,./grasp/main,0.5,4304,4263.2,0.006190754164744927,1493.900598335266,0.10880289264177662
dckp_instances/1000/dckp_6_sum.txt,./grasp/main,0.75,4304,4254.4,0.007414501369741398,1391.0004569530488,0.11339196635074374
dckp_instances/1000/dckp_6_sum.txt,./ils/main,0.5,4731,4561.2,0.029679826706931346,1735.0820284843444,0.076096440114314
dckp_instances/1000/dckp_6_sum.txt,./ils/main,0.75,4859,4448.2,0.14836303505518383,1764.8773191690445,0.059109652772460594
dckp_instances/1000/dckp_3_sum.txt,./tabu/main,None,3692,3551.0,0.030623929772628122,140.08049778938295,0.08729422885537137
dckp_instances/1000/dckp_3_sum.txt,./grasp/main,0.5,4299,4246.6,0.007471292449670941,1404.1967307567597,0.1267092533508046
dckp_instances/1000/dckp_3_sum.txt,./grasp/main,0.75,4315,4254.4,0.007255572235307727,1200.7957948684693,0.2055777818094087
dckp_instances/1000/dckp_3_sum.txt,./ils/main,0.5,4694,4577.4,0.024378381887243502,1099.2681740283965,0.03847939135963026
dckp_instances/1000/dckp_3_sum.txt,./ils/main,0.75,4911,4306.3,0.23777862601632638,1091.34996137619,0.07366143026044929
dckp_instances/1000/dckp_5_sum.txt,./tabu/main,None,3755,3541.4,0.04095403415529602,96.26626877784729,0.09484451230548384
dckp_instances/1000/dckp_5_sum.txt,./grasp/main,0.5,4243,4202.0,0.007852681950933972,1090.9533425807954,0.024996402363753546
dckp_instances/1000/dckp_5_sum.txt,./grasp/main,0.75,4260,4217.6,0.007352598838812915,975.3220542907715,0.12082465733592693
dckp_instances/1000/dckp_5_sum.txt,./ils/main,0.5,4640,4508.6,0.024955063504568494,989.3661987781525,0.035371460113081225
dckp_instances/1000/dckp_5_sum.txt,./ils/main,0.75,4867,4671.7,0.039142437167400006,948.4848247051239,0.05348957324353639
dckp_instances/1000/dckp_4_sum.txt,./tabu/main,None,3576,3460.2,0.029535469084967788,84.86421966552734,0.048580445638182035
dckp_instances/1000/dckp_4_sum.txt,./grasp/main,0.5,4280,4252.0,0.004339118591062582,1156.1182706832885,0.03569672366690518
dckp_instances/1000/dckp_4_sum.txt,./grasp/main,0.75,4345,4274.5,0.0075772701734956194,1052.4415074348449,0.10437855809294617
dckp_instances/1000/dckp_4_sum.txt,./ils/main,0.5,4692,3639.4,0.31732922384224693,1253.9003469944,0.04893899945828351
dckp_instances/1000/dckp_4_sum.txt,./ils/main,0.75,4871,4199.3,0.23616562549066233,1225.6621179103852,0.0784649902670426
