Instance,Executable,Alpha,Best Profit,Average Profit,Profit CV,Average Time,Time CV
700 Itens - Instancia 8,ils,0.5,3327,3256.2,0.0254453209756359,346.4308064937592,0.051070620985318
700 Itens - Instancia 8,ils,0.75,3437,3312.1,0.0272050943937112,357.78650596141813,0.0609900787786354
700 Itens - Instancia 10,tabu,,2671,2536.4,0.0331680816316236,41.54301209449768,0.0824383964635272
700 Itens - Instancia 10,grasp,0.5,3078,3058.0,0.0043135729098341,309.38439321517944,0.0940828245126746
700 Itens - Instancia 10,grasp,0.75,3079,3056.2,0.004799533158382,377.3607165575028,0.9742813123231072
700 Itens - Instancia 10,ils,0.5,3382,3038.6,0.1725877862484689,264.85925407409667,0.1457255679380167
700 Itens - Instancia 10,ils,0.75,3424,3192.1,0.1267136043767617,267.17529821395874,0.1031621217670786
700 Itens - Instancia 1,tabu,,2600,2523.0,0.024773840604491,30.96324563026428,0.023326815761143
700 Itens - Instancia 1,grasp,0.5,3054,3035.4,0.0048355651662143,285.91394743919375,0.0318309363986946
700 Itens - Instancia 1,grasp,0.75,3057,3022.0,0.0090948183684658,256.6020331144333,0.1187783667827205
700 Itens - Instancia 1,ils,0.5,3431,2782.2,0.3404486223444752,274.96756467819216,0.0446975199535199
700 Itens - Instancia 1,ils,0.75,3431,2772.5,0.3381059962293752,265.8599058866501,0.0491750797402128
700 Itens - Instancia 9,tabu,,2611,2505.8,0.0225671402502251,33.507286071777344,0.0755887425716894
700 Itens - Instancia 9,grasp,0.5,3046,2986.6,0.0108219684848406,269.60482864379884,0.0143750697406734
700 Itens - Instancia 9,grasp,0.75,3046,2979.8,0.0102987141573617,246.48575439453128,0.098319253852567
700 Itens - Instancia 9,ils,0.5,3254,3163.4,0.0143915585005354,268.91615133285524,0.0286018119209287
700 Itens - Instancia 9,ils,0.75,3479,3235.9,0.0327308003525564,261.2260674476624,0.051137331286061
700 Itens - Instancia 2,tabu,,2620,2456.8,0.0415918972408504,34.12614231109619,0.0862799126894041
700 Itens - Instancia 2,grasp,0.5,2880,2860.6,0.0048266952650753,264.2828939914704,0.0326897512984216
700 Itens - Instancia 2,grasp,0.75,2890,2865.6,0.0064896614718639,235.76657211780548,0.1251050834551603
700 Itens - Instancia 2,ils,0.5,3177,2692.4,0.3268818607774879,246.63479928970335,0.0413757404931814
700 Itens - Instancia 2,ils,0.75,3325,2936.1,0.2290303509524069,244.61738154888155,0.0445429224631093
500 Itens - Instancia 6,tabu,,1894,1815.8,0.0223742067198495,12.433230018615722,0.0504191396352478
500 Itens - Instancia 6,grasp,0.5,2226,2201.8,0.0076506391822129,83.6932599067688,0.0226045566035354
500 Itens - Instancia 6,grasp,0.75,2232,2209.3,0.0080590117415146,78.15904397964478,0.0776442566687792
500 Itens - Instancia 6,ils,0.5,2387,2307.0,0.0284016104092924,77.1890793800354,0.0293039144330434
500 Itens - Instancia 6,ils,0.75,2624,2378.1,0.0504732228067099,75.79260771274566,0.0487153603934931
500 Itens - Instancia 3,tabu,,1839,1772.8,0.0303900111864691,12.165744829177855,0.0508005453221644
500 Itens - Instancia 3,grasp,0.5,2123,2107.8,0.0051044606343344,65.68792128562927,0.0530942635924004
500 Itens - Instancia 3,grasp,0.75,2142,2114.4,0.0069450841376392,59.63399052619934,0.1170383009618435
500 Itens - Instancia 3,ils,0.5,2413,1980.0,0.3224577208512109,66.82121253013611,0.0766412544912091
500 Itens - Instancia 3,ils,0.75,2457,2188.2,0.2279462117245167,64.14806880950928,0.0798149304424214
500 Itens - Instancia 5,tabu,,1909,1819.0,0.0267317737223379,10.918533515930177,0.0729309809905902
500 Itens - Instancia 5,grasp,0.5,2159,2145.6,0.0064012992965657,65.38326225280761,0.075798517206957
500 Itens - Instancia 5,grasp,0.75,2203,2161.2,0.0120637643090716,57.05757160186768,0.1606710479018664
500 Itens - Instancia 5,ils,0.5,2420,2359.8,0.0285183270813519,61.18385882377625,0.0302589064026085
500 Itens - Instancia 5,ils,0.75,2495,2381.6,0.0282050759763325,61.07263407707215,0.0444053929473874
500 Itens - Instancia 4,tabu,,1856,1810.6,0.0182564373720349,9.9644540309906,0.0507189967829235
500 Itens - Instancia 4,grasp,0.5,2170,2147.6,0.0079273086031031,59.16484365463257,0.0386410690823341
500 Itens - Instancia 4,grasp,0.75,2170,2147.3,0.0065099951987107,53.72902290821075,0.1129990359267143
500 Itens - Instancia 4,ils,0.5,2357,1879.4,0.4027051888398631,62.83893003463745,0.0518787827971984
500 Itens - Instancia 4,ils,0.75,2398,2116.8,0.2767094076270807,60.42161340713501,0.0688237743276789
500 Itens - Instancia 7,tabu,,1860,1736.0,0.042067258904025,10.430545854568482,0.0428028405591747
500 Itens - Instancia 7,grasp,0.5,2202,2150.8,0.0147948428252134,65.17496585845947,0.0281021282733851
500 Itens - Instancia 7,grasp,0.75,2202,2158.6,0.0137194761114771,61.48642363548279,0.0663290236077451
500 Itens - Instancia 7,ils,0.5,2333,2285.2,0.0139247102872698,68.07803430557252,0.0789637348568641
500 Itens - Instancia 7,ils,0.75,2395,2306.4,0.0237718372485465,64.39056794643402,0.0836370467173942
500 Itens - Instancia 8,tabu,,1784,1715.6,0.021742836715824,10.778700304031371,0.0494588985781846
500 Itens - Instancia 8,grasp,0.5,2131,2125.0,0.0032055315512332,66.3186604976654,0.0445693045190705
500 Itens - Instancia 8,grasp,0.75,2134,2120.1,0.0073267827740198,64.14856481552124,0.0782585801813064
500 Itens - Instancia 8,ils,0.5,2358,2289.2,0.019597049118114,78.71404581069946,0.0452713455964662
500 Itens - Instancia 8,ils,0.75,2438,2233.5,0.1128489413417806,92.50553605556487,0.1869153797050101
500 Itens - Instancia 10,tabu,,1868,1821.2,0.0175137718339582,22.60436644554138,0.0768143708795387
500 Itens - Instancia 10,grasp,0.5,2194,2162.6,0.0106357484272542,98.71659245491028,0.1084172368364426
500 Itens - Instancia 10,grasp,0.75,2194,2153.2,0.0107838654656987,88.64108419418335,0.1437893589647071
500 Itens - Instancia 10,ils,0.5,2391,2290.2,0.0334804754226334,97.82759394645691,0.0191111715809665
500 Itens - Instancia 10,ils,0.75,2525,2347.6,0.0405927501679977,94.61227338314056,0.0483761933346624
500 Itens - Instancia 1,tabu,,1915,1813.2,0.0314107746192704,16.639882230758666,0.0740949169954316
500 Itens - Instancia 1,grasp,0.5,2243,2192.8,0.0123699819012978,115.44276757240296,0.1279808597027696
500 Itens - Instancia 1,grasp,0.75,2266,2202.0,0.0158842576697129,106.7240748167038,0.1444018305612158
500 Itens - Instancia 1,ils,0.5,2399,2318.2,0.0197233379748888,129.3131651878357,0.1682283582241539
500 Itens - Instancia 1,ils,0.75,2507,2372.3,0.0314232412938674,121.24999058246613,0.147965113410093
500 Itens - Instancia 9,tabu,,1824,1744.8,0.0379989270411321,18.620096015930176,0.0598681111236035
500 Itens - Instancia 9,grasp,0.5,2166,2142.6,0.0097749155915791,101.83397598266602,0.0315947093715088
500 Itens - Instancia 9,grasp,0.75,2166,2140.5,0.0097062313914189,91.95609405040742,0.1192653659429804
500 Itens - Instancia 9,ils,0.5,2550,2309.4,0.0593335763530341,112.59044280052186,0.0569728696760005
